Account,Creditline,Target,predicted_target,top_feature_1,top_feature_1_value,top_feature_1_shap,top_feature_2,top_feature_2_value,top_feature_2_shap,top_feature_3,top_feature_3_value,top_feature_3_shap,top_feature_4,top_feature_4_value,top_feature_4_shap,top_feature_5,top_feature_5_value,top_feature_5_shap,analyst_summary
5223690,5223690-01-006,Low Risk,Low Risk,account_loan_count,1.6946595362538335,2.277848064366482,account_total_savings,-0.062076802616812664,1.4298009632373256,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.182566385295585,1.1797937368848945,Outstanding,-0.47828891854754385,1.1316748142524877,"account_loan_count=1.6947 (pushes_toward Low Risk, shap=2.2778); account_total_savings=-0.0621 (pushes_toward Low Risk, shap=1.4298); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.1826 (pushes_toward Low Risk, shap=1.1798); Outstanding=-0.4783 (pushes_toward Low Risk, shap=1.1317)"
5223690,5223690-01-007,Low Risk,Low Risk,account_loan_count,1.6946595362538335,2.277848064366482,account_total_savings,-0.062076802616812664,1.4298009632373256,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Outstanding,-0.4766189324749717,1.1304749230801168,account_total_outstanding,-0.4193712975407704,-1.112442515508779,"account_loan_count=1.6947 (pushes_toward Low Risk, shap=2.2778); account_total_savings=-0.0621 (pushes_toward Low Risk, shap=1.4298); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Outstanding=-0.4766 (pushes_toward Low Risk, shap=1.1305); account_total_outstanding=-0.4194 (pushes_away Low Risk, shap=-1.1124)"
5223690,5223690-01-008,Low Risk,Low Risk,account_loan_count,1.6946595362538335,2.277848064366482,account_total_savings,-0.062076802616812664,1.4298009632373256,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.2229830187902047,1.2155667428547214,Outstanding,-0.46158905782182286,1.1196759025287781,"account_loan_count=1.6947 (pushes_toward Low Risk, shap=2.2778); account_total_savings=-0.0621 (pushes_toward Low Risk, shap=1.4298); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.2230 (pushes_toward Low Risk, shap=1.2156); Outstanding=-0.4616 (pushes_toward Low Risk, shap=1.1197)"
5223690,5223690-02-02,Low Risk,Low Risk,account_loan_count,1.6946595362538335,2.277848064366482,account_total_savings,-0.062076802616812664,1.4298009632373256,account_total_outstanding,-0.4193712975407704,-1.112442515508779,Voluntary saving,-0.16153200381944186,-1.1048743784775996,account_mean_duration,-1.2292294068018546,-1.0702304470470583,"account_loan_count=1.6947 (pushes_toward Low Risk, shap=2.2778); account_total_savings=-0.0621 (pushes_toward Low Risk, shap=1.4298); account_total_outstanding=-0.4194 (pushes_away Low Risk, shap=-1.1124); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049); account_mean_duration=-1.2292 (pushes_away Low Risk, shap=-1.0702)"
5223702,5223702-02-00,Low Risk,Low Risk,account_total_savings,-0.5552375071195438,1.8835816175500089,account_loan_count,-0.866587262857074,-1.4259699264733259,account_total_outstanding,-0.4361066640391607,-1.1220147376284182,Compulsory saving,-0.5654598376162792,-1.1202716929142833,Voluntary saving,-0.16153200381944186,-1.1048743784775996,"account_total_savings=-0.5552 (pushes_toward Low Risk, shap=1.8836); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); account_total_outstanding=-0.4361 (pushes_away Low Risk, shap=-1.1220); Compulsory saving=-0.5655 (pushes_away Low Risk, shap=-1.1203); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049)"
5223710,5223710-02-02,Low Risk,Low Risk,account_total_savings,-0.4486380078852405,1.785494340785486,account_loan_count,-0.866587262857074,-1.4259699264733259,account_total_outstanding,-0.422582586362538,-1.1142792945177853,Voluntary saving,-0.16153200381944186,-1.1048743784775996,remaining_to_duration_ratio,0.8122637446289507,1.0700533254252147,"account_total_savings=-0.4486 (pushes_toward Low Risk, shap=1.7855); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); account_total_outstanding=-0.4226 (pushes_away Low Risk, shap=-1.1143); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049); remaining_to_duration_ratio=0.8123 (pushes_toward Low Risk, shap=1.0701)"
5223728,5223728-02-003,Low Risk,Low Risk,account_total_savings,-0.5476015046140225,1.876555367928635,account_loan_count,-0.866587262857074,-1.4259699264733259,Salary,-0.28431550391236526,-1.240731821622842,account_total_outstanding,-0.4529501802806114,-1.131648818767569,Compulsory saving,-0.541991996380666,-1.1078945820637771,"account_total_savings=-0.5476 (pushes_toward Low Risk, shap=1.8766); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); Salary=-0.2843 (pushes_away Low Risk, shap=-1.2407); account_total_outstanding=-0.4530 (pushes_away Low Risk, shap=-1.1316); Compulsory saving=-0.5420 (pushes_away Low Risk, shap=-1.1079)"
5223734,5223734-02-00,Low Risk,Low Risk,account_total_savings,-0.5057417332994999,1.8380381984886311,account_loan_count,-0.866587262857074,-1.4259699264733259,account_total_outstanding,-0.46921052367403493,-1.1409493392382999,Voluntary saving,-0.1627176988300173,-1.1063111444876967,Compulsory saving,-0.4132762561867834,-1.040008960689835,"account_total_savings=-0.5057 (pushes_toward Low Risk, shap=1.8380); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); account_total_outstanding=-0.4692 (pushes_away Low Risk, shap=-1.1409); Voluntary saving=-0.1627 (pushes_away Low Risk, shap=-1.1063); Compulsory saving=-0.4133 (pushes_away Low Risk, shap=-1.0400)"
5223736,5223736-01-009,Low Risk,Low Risk,account_total_savings,-0.2723817045316186,1.6233125206763812,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.0613164848117256,1.0724747189754134,account_total_outstanding,-0.32974781894992344,-1.0611800681468495,Periodicity,-1.3106410556482142,1.0526101190264106,"account_total_savings=-0.2724 (pushes_toward Low Risk, shap=1.6233); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725); account_total_outstanding=-0.3297 (pushes_away Low Risk, shap=-1.0612); Periodicity=-1.3106 (pushes_toward Low Risk, shap=1.0526)"
5223736,5223736-02-00,Low Risk,Medium Risk,Salary,-0.135115233133521,0.7190074477581584,account_total_savings,-0.2723817045316186,-0.6265408075993015,Voluntary saving,-0.16153200381944186,0.40591545633681814,Outstanding,-0.290983614645072,-0.374925744551262,account_total_payment_plan,0.023933199006636194,0.3520086943682007,"Salary=-0.1351 (pushes_toward Medium Risk, shap=0.7190); account_total_savings=-0.2724 (pushes_away Medium Risk, shap=-0.6265); Voluntary saving=-0.1615 (pushes_toward Medium Risk, shap=0.4059); Outstanding=-0.2910 (pushes_away Medium Risk, shap=-0.3749); account_total_payment_plan=0.0239 (pushes_toward Medium Risk, shap=0.3520)"
